Speed,Commande,Error,IntErr,kp,ki,kd,time,filter_type
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472925,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472950,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472975,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473000,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473025,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473050,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473075,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473100,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473125,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473150,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473175,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473200,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473225,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473250,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473275,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473300,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473325,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473350,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473375,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473400,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473425,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473450,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473475,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473500,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473525,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473550,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473575,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473600,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473625,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473650,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473675,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473700,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473725,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473750,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473775,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473800,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473825,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473850,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473875,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473900,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473925,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473950,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46473975,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474000,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474025,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474050,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474075,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474100,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474125,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474150,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474175,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474200,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474225,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474250,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474275,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474300,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474325,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474350,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474375,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474400,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474425,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474450,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474475,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474500,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474525,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474550,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474575,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474600,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474625,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474650,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474675,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474700,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474725,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474750,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474775,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474800,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474825,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474850,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474875,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474900,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474925,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474950,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46474975,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475000,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475025,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475050,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475075,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475100,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475125,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475150,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475175,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475200,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475225,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475250,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475275,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475300,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475325,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475350,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46475375,1
